"id","student_id","assignment_id","submission_date","submitted_on","total_marks","updated_at","created_at","created_by","updated_by","deleted_at"
"537","2","223","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:19:33","2017-12-13 17:49:33","1","1",NULL
"538","2","224","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:19:47","2017-12-13 17:49:47","1","1",NULL
"539","2","225","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:20:02","2017-12-13 17:50:02","1","1",NULL
"540","2","226","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:20:31","2017-12-13 17:50:31","1","1",NULL
"541","2","227","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:20:47","2017-12-13 17:50:47","1","1",NULL
"542","2","228","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:21:03","2017-12-13 17:51:03","1","1",NULL
"543","2","229","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:21:21","2017-12-13 17:51:21","1","1",NULL
"544","2","230","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:21:47","2017-12-13 17:51:47","1","1",NULL
"545","2","231","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:22:02","2017-12-13 17:52:02","1","1",NULL
"546","2","232","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:22:24","2017-12-13 17:52:24","1","1",NULL
"547","2","233","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:22:49","2017-12-13 17:52:49","1","1",NULL
"548","2","235","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:23:45","2017-12-13 17:53:45","1","1",NULL
"549","2","234","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:24:07","2017-12-13 17:54:07","1","1",NULL
"550","2","236","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-14 06:24:24","2017-12-13 17:54:24","1","1",NULL
"551","2","216","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-28 05:08:29","2017-12-27 16:38:29","1","1",NULL
"552","2","217","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-28 05:08:49","2017-12-27 16:38:49","1","1",NULL
"553","2","218","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-28 05:09:04","2017-12-27 16:39:04","1","1",NULL
"554","2","219","2017-12-31 00:00:00","2017-12-31 00:00:00",NULL,"2017-12-28 05:09:23","2017-12-27 16:39:23","1","1",NULL
"555","2","220","2018-01-07 00:00:00","2018-01-07 00:00:00",NULL,"2018-01-25 05:16:49","2018-01-24 16:46:49","1","1",NULL
"556","2","221","2018-01-07 00:00:00","2018-01-07 00:00:00",NULL,"2018-01-25 05:17:16","2018-01-24 16:47:16","1","1",NULL
"557","2","222","2018-01-07 00:00:00","2018-01-07 00:00:00",NULL,"2018-01-25 05:17:37","2018-01-24 16:47:37","1","1",NULL
"558","2","237","2018-01-07 00:00:00","2018-01-07 00:00:00",NULL,"2018-01-25 05:17:55","2018-01-24 16:47:55","1","1",NULL
"559","2","238","2018-03-18 00:00:00","2018-03-18 00:00:00",NULL,"2018-03-08 08:00:23","2018-03-07 19:30:23","1","1",NULL
"560","2","239","2018-03-18 00:00:00","2018-03-18 00:00:00",NULL,"2018-03-08 08:00:44","2018-03-07 19:30:44","1","1",NULL
"561","2","240","2018-03-18 00:00:00","2018-03-18 00:00:00",NULL,"2018-03-08 08:01:05","2018-03-07 19:31:05","1","1",NULL
"562","2","241","2018-03-18 00:00:00","2018-03-18 00:00:00",NULL,"2018-03-08 08:01:24","2018-03-07 19:31:24","1","1",NULL
"563","2","242","2018-03-18 00:00:00","2018-03-18 00:00:00",NULL,"2018-03-08 08:01:43","2018-03-07 19:31:43","1","1",NULL
"564","2","243","2018-03-18 00:00:00","2018-03-18 00:00:00",NULL,"2018-03-08 08:01:59","2018-03-07 19:31:59","1","1",NULL
"565","2","244","2018-03-18 00:00:00","2018-03-18 00:00:00",NULL,"2018-03-08 08:02:19","2018-03-07 19:32:19","1","1",NULL
"566","2","246","2018-04-15 00:00:00","2018-04-15 00:00:00",NULL,"2018-04-11 03:41:27","2018-04-10 15:11:27","1","1",NULL
"567","2","250","2018-05-27 00:00:00","2018-05-27 00:00:00",NULL,"2018-05-13 12:44:59","2018-05-13 00:14:59","1","1",NULL
"568","2","251","2018-05-27 00:00:00","2018-05-27 00:00:00",NULL,"2018-05-13 12:45:12","2018-05-13 00:15:12","1","1",NULL
"569","2","252","2018-05-27 00:00:00","2018-05-27 00:00:00",NULL,"2018-05-13 12:45:25","2018-05-13 00:15:25","1","1",NULL
"570","2","257","2018-09-30 00:00:00","2018-09-30 00:00:00",NULL,"2018-09-25 17:04:12","2018-09-25 04:34:12","1","1",NULL
"571","2","258","2018-09-30 00:00:00","2018-09-30 00:00:00",NULL,"2018-09-25 17:04:28","2018-09-25 04:34:28","1","1",NULL
"572","2","259","2018-09-30 00:00:00","2018-09-30 00:00:00",NULL,"2018-09-25 17:04:49","2018-09-25 04:34:49","1","1",NULL
"573","2","260","2018-09-30 00:00:00","2018-09-30 00:00:00",NULL,"2018-09-25 17:05:12","2018-09-25 04:35:12","1","1",NULL
"574","50","261","2018-10-31 00:00:00","2018-10-31 00:00:00",NULL,"2018-10-16 12:50:50","2018-10-16 00:20:50","1","1",NULL
"576","55","261","2018-10-31 00:00:00","2018-10-31 00:00:00",NULL,"2018-10-24 16:53:29","2018-10-24 04:23:29","1","1",NULL
"577","57","1","2018-10-31 00:00:00","2018-10-31 00:00:00",NULL,"2018-10-30 03:25:57","2018-10-29 14:55:57","1","1",NULL
"578","58","17","2018-11-06 00:00:00","2018-11-06 00:00:00",NULL,"2018-10-31 16:54:40","2018-10-31 04:24:40","1","1",NULL
"579","82","17","2019-02-24 00:00:00","2019-02-24 00:00:00",NULL,"2019-02-14 03:41:17","2019-02-13 15:11:17","1","1",NULL
"580","92","17","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 02:59:28","2019-06-01 14:29:28","1","1",NULL
"581","92","18","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 02:59:47","2019-06-01 14:29:47","1","1",NULL
"582","92","19","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 03:00:09","2019-06-01 14:30:09","1","1",NULL
"583","92","20","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 03:00:36","2019-06-01 14:30:36","1","1",NULL
"584","92","21","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 03:01:02","2019-06-01 14:31:02","1","1",NULL
"585","92","22","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 03:01:22","2019-06-01 14:31:22","1","1",NULL
"586","92","23","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 03:01:42","2019-06-01 14:31:42","1","1",NULL
"587","92","52","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 03:02:17","2019-06-01 14:32:17","1","1",NULL
"588","92","55","2019-06-09 00:00:00","2019-06-09 00:00:00",NULL,"2019-06-02 03:02:35","2019-06-01 14:32:35","1","1",NULL
"589","93","17","2019-06-09 00:00:00","2019-09-06 12:12:10",NULL,"2019-09-07 00:42:10","2019-06-01 14:33:00","1","83",NULL
"590","93","18","2019-06-09 00:00:00","2019-09-06 12:23:32",NULL,"2019-09-07 00:53:32","2019-06-01 14:33:19","1","83",NULL
"591","93","19","2019-06-09 00:00:00","2019-09-06 12:24:06",NULL,"2019-09-07 00:54:06","2019-06-01 14:33:40","1","83",NULL
"592","93","20","2019-06-09 00:00:00","2019-09-06 12:37:16",NULL,"2019-09-07 01:07:16","2019-06-01 14:34:02","1","83",NULL
"593","93","21","2019-06-09 00:00:00","2019-09-06 12:44:00",NULL,"2019-09-07 01:14:00","2019-06-01 14:34:21","1","83",NULL
"594","93","22","2019-06-09 00:00:00","2019-09-06 13:02:33",NULL,"2019-09-07 01:32:33","2019-06-01 14:34:42","1","83",NULL
"595","93","23","2019-06-09 00:00:00","2019-09-09 00:06:46",NULL,"2019-09-09 12:36:46","2019-06-01 14:35:09","1","83",NULL
"596","93","52","2019-06-09 00:00:00","2019-09-09 01:01:05",NULL,"2019-09-09 13:31:05","2019-06-01 14:35:32","1","83",NULL
"597","93","55","2019-06-09 00:00:00","2019-09-09 01:18:43",NULL,"2019-09-09 13:48:43","2019-06-01 14:35:54","1","83",NULL
"598","93","56","2019-07-14 00:00:00","2019-09-09 01:26:28",NULL,"2019-09-09 13:56:28","2019-07-10 17:25:01","1","83",NULL
"599","93","61","2019-07-14 00:00:00","2019-09-09 01:32:31",NULL,"2019-09-09 14:02:31","2019-07-10 17:25:47","1","83",NULL
"600","93","62","2019-07-21 00:00:00","2019-09-09 01:44:38",NULL,"2019-09-09 14:14:38","2019-07-10 17:26:03","1","83",NULL
"601","93","63","2019-07-21 00:00:00","2019-09-09 01:39:49",NULL,"2019-09-09 14:09:49","2019-07-10 17:26:19","1","83",NULL
"602","93","64","2019-07-21 00:00:00","2019-09-09 00:42:49",NULL,"2019-09-09 13:12:49","2019-07-10 17:26:51","1","83",NULL
"603","93","65","2019-07-21 00:00:00","2019-09-09 00:26:28",NULL,"2019-09-09 12:56:28","2019-07-10 17:27:26","1","83",NULL
"604","95","238","2019-09-18 23:01:00",NULL,NULL,"2019-09-05 15:31:43","2019-09-05 03:01:43","1","1",NULL
"605","93","89","2019-09-28 00:00:00","2019-09-14 23:39:00",NULL,"2019-09-15 12:09:00","2019-09-14 15:05:42","1","83",NULL
"606","93","95","2019-09-28 00:00:00","2019-09-14 23:48:50",NULL,"2019-09-15 12:18:50","2019-09-14 15:06:17","1","83",NULL
"607","93","96","2019-09-28 00:00:00","2019-09-14 23:55:12",NULL,"2019-09-15 12:25:12","2019-09-14 15:06:50","1","83",NULL
"608","93","98","2019-09-28 00:00:00","2019-09-15 00:01:42",NULL,"2019-09-15 12:31:42","2019-09-14 15:07:27","1","83",NULL
"609","93","100","2019-09-28 00:00:00","2019-09-15 00:05:23",NULL,"2019-09-15 12:35:23","2019-09-14 15:07:58","1","83",NULL
"610","93","103","2019-09-28 00:00:00","2019-09-15 00:07:45",NULL,"2019-09-15 12:37:45","2019-09-14 15:08:42","1","83",NULL
"611","93","1","2019-09-28 00:08:00","2019-09-20 20:30:00",NULL,"2019-09-21 09:00:00","2019-09-20 04:08:31","1","83",NULL
"612","93","3","2019-09-28 00:09:00","2019-09-20 20:45:23",NULL,"2019-09-21 09:15:23","2019-09-20 04:09:22","1","83",NULL
"613","93","5","2019-09-28 00:09:00","2019-09-21 21:52:27",NULL,"2019-09-22 10:22:27","2019-09-20 04:09:57","1","83",NULL
"614","93","7","2019-09-28 00:12:00","2019-09-21 21:57:09",NULL,"2019-09-22 10:27:09","2019-09-20 04:12:11","1","83",NULL
"615","93","9","2019-09-28 00:12:00","2019-09-20 21:17:20",NULL,"2019-09-21 09:47:20","2019-09-20 04:12:54","1","83",NULL
"616","93","10","2019-09-28 00:13:00","2019-09-20 21:07:59",NULL,"2019-09-21 09:37:59","2019-09-20 04:13:32","1","83",NULL
"617","93","12","2019-10-26 00:00:00",NULL,NULL,"2019-10-24 15:45:15","2019-10-13 12:03:42","1","1","2019-10-24 03:15:15"
"618","93","14","2019-10-26 00:00:00",NULL,NULL,"2019-10-24 15:45:10","2019-10-13 12:04:12","1","1","2019-10-24 03:15:10"
"619","93","24","2019-10-26 00:00:00",NULL,NULL,"2019-10-24 15:45:04","2019-10-13 12:04:41","1","1","2019-10-24 03:15:04"
